symbol,historical_fintual_name,evidence
A,Agilent Technologies Inc,fintual;help
AA,Alcoa Corp,fintual;help
AAL,American Airlines Group Inc,fintual;help
AAMI,Acadian Asset Management Inc,fintual;help
AAOI,Applied Optoelectronics Inc,fintual;help
AAON,AAON Inc,fintual;help
AAP,Advance Auto Parts Inc,fintual;help
AAPL,Apple Inc,fintual;help
AARD,Aardvark Therapeutics Inc,fintual
AAT,American Assets Trust Inc,fintual;help
ABBV,AbbVie Inc,fintual;help
ABCB,Ameris Bancorp,fintual;help
ABEO,Abeona Therapeutics Inc,fintual;help
ABG,Asbury Automotive Group Inc,fintual;help
ABM,ABM Industries Inc,fintual;help
ABR,Arbor Realty Trust Inc,fintual;help
ABSI,Absci Corp,fintual;help
ABT,Abbott Laboratories,fintual;help
ABUS,Arbutus Biopharma Corp,fintual;help
ACA,Arcosa Inc,fintual;help
ACAD,ACADIA Pharmaceuticals Inc,fintual;help
ACCO,ACCO Brands Corp,fintual;help
ACEL,Accel Entertainment Inc,fintual;help
ACGL,Arch Capital Group Ltd,fintual;help
ACIC,American Coastal Insurance Corp,fintual;help
ACIW,ACI Worldwide Inc,fintual;help
ACLS,Axcelis Technologies Inc,fintual;help
ACM,AECOM,fintual;help
ACNB,ACNB Corp,fintual;help
ACRE,Ares Commercial Real Estate Corp,fintual;help
ACT,Enact Holdings Inc,fintual;help
ACTG,Acacia Research Corp,fintual;help
AD,Array Digital Infrastructure Inc,fintual;help
ADBE,Adobe Inc,fintual;help
ADC,Agree Realty Corp,fintual;help
ADEA,Adeia Inc,fintual;help
ADI,Analog Devices Inc,fintual;help
ADMA,ADMA Biologics Inc,fintual;help
ADP,Automatic Data Processing Inc,fintual;help
ADPT,Adaptive Biotechnologies Corp,fintual;help
ADSK,Autodesk Inc,fintual;help
ADT,ADT Inc,fintual;help
ADTN,ADTRAN Holdings Inc,fintual;help
ADUS,Addus HomeCare Corp,fintual;help
AEE,Ameren Corp,fintual;help
AEHR,Aehr Test Systems,fintual;help
AEIS,Advanced Energy Industries Inc,fintual;help
AEO,American Eagle Outfitters Inc,fintual;help
AESI,Atlas Energy Solutions Inc,fintual;help
AEVA,Aeva Technologies Inc,fintual;help
AEYE,AudioEye Inc,fintual
AFCG,Advanced Flower Capital Inc,fintual;help
AFL,Aflac Inc,fintual;help
AGCO,AGCO Corp,fintual;help
AGIO,Agios Pharmaceuticals Inc,fintual;help
AGL,agilon health Inc,fintual;help
AGNC,AGNC Investment Corp,fintual;help
AGO,Assured Guaranty Ltd,fintual;help
AGX,Argan Inc,fintual;help
AGYS,Agilysys Inc,fintual;help
AHCO,AdaptHealth Corp,fintual;help
AHR,American Healthcare REIT Inc,fintual;help
AHRT,"AH Realty Trust, Inc.",fintual
AII,American Integrity Insurance Group Inc,fintual
AIN,Albany International Corp,fintual;help
AIP,Arteris Inc,fintual;help
AIR,AAR Corp,fintual;help
AIRI,Air Industries Group,fintual;help
AIRO,AIRO Group Holdings Inc,fintual
AIT,Applied Industrial Technologies Inc,fintual;help
AIZ,Assurant Inc,fintual;help
AJG,Arthur J Gallagher & Co,fintual;help
AKAM,Akamai Technologies Inc,fintual;help
AKBA,Akebia Therapeutics Inc,fintual;help
AKR,Acadia Realty Trust,fintual;help
ALAB,Astera Labs Inc,fintual;help
ALB,Albemarle Corp,fintual;help
ALC,Alcon Inc,fintual;help
ALCO,Alico Inc,fintual
ALDX,Aldeyra Therapeutics Inc,fintual;help
ALEC,Alector Inc,fintual;help
ALG,Alamo Group Inc,fintual;help
ALGM,Allegro MicroSystems Inc,fintual;help
ALGN,Align Technology Inc,fintual;help
ALGS,Aligos Therapeutics Inc,fintual;help
ALH,Alliance Laundry Holdings Inc,fintual
ALHC,Alignment Healthcare Inc,fintual;help
ALK,Alaska Air Group Inc,fintual;help
ALKS,Alkermes PLC,fintual;help
ALKT,Alkami Technology Inc,fintual;help
ALL,Allstate Corp/The,fintual;help
ALLE,Allegion plc,fintual;help
ALLO,Allogene Therapeutics Inc,fintual;help
ALLY,Ally Financial Inc,fintual;help
ALMS,Alumis Inc,fintual;help
ALNT,Allient Inc,fintual;help
ALNY,Alnylam Pharmaceuticals Inc,fintual;help
ALRM,Alarm.com Holdings Inc,fintual;help
ALRS,Alerus Financial Corp,fintual;help
ALSN,Allison Transmission Holdings Inc,fintual;help
ALT,Altimmune Inc,fintual;help
ALTO,Alto Ingredients Inc,fintual;help
ALV,Autoliv Inc,fintual;help
ALX,Alexander's Inc,fintual;help
ALXO,ALX Oncology Holdings Inc,fintual;help
AM,Antero Midstream Corp,fintual;help
AMAL,Amalgamated Financial Corp,fintual;help
AMAT,Applied Materials Inc,fintual;help
AMBA,Ambarella Inc,fintual;help
AMBQ,Ambiq Micro Inc,fintual
AMCR,Amcor PLC,fintual;help
AMD,Advanced Micro Devices Inc,fintual;help
AME,AMETEK Inc,fintual;help
AMG,Affiliated Managers Group Inc,fintual;help
AMGN,Amgen Inc,fintual;help
AMKR,Amkor Technology Inc,fintual;help
AMLX,Amylyx Pharmaceuticals Inc,fintual;help
AMN,AMN Healthcare Services Inc,fintual;help
